url;classes;filename
nummer.hypotheses.org/212;histoire_d, sciences de l'information et de la communication_d, bibliothéconomie_d, histoire_t, histoire intellectuelle_t, histoire et sociologie des médias_t, histoire culturelle_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
erinnern.hypotheses.org/724;éducation et sciences de l'éducation_d, histoire_d, histoire_t, éducation_t, 1918-1939_t, 1939-1945_t, 1945-1989_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
barblog.hypotheses.org/140;sciences sociales interdisciplinaires_d, sciences politiques_d, sociologie_d, anthropologie politique_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
gab.hypotheses.org/2327;histoire et archéologie_d, pluridisciplinarité_d, sciences sociales interdisciplinaires_d, études des sciences_t, sociologie des sciences_t, histoire_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
dfmfa.hypotheses.org/1624;humanités pluridisciplinaires_d, sciences sociales interdisciplinaires_d, histoire_t, moyen âge_t, haut moyen âge_t, bas moyen âge_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
ostblog.hypotheses.org/255;histoire_d, économie_d, histoire_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/9865;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
intersex.hypotheses.org/82;histoire_d, biomédecine_d, étude des genres_t, histoire des sciences_t, histoire_t, histoire du droit_t, moyen âge_t, xxie siècle_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
kristinoswald.hypotheses.org/1669;études anciennes_d, études des sciences_t, histoire_t, histoire et sociologie des médias_t, histoire culturelle_t, digital humanities_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/3518;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
soziologieblog.hypotheses.org/1620;sciences sociales interdisciplinaires_d, sociologie et anthropologie_d, sociologie du travail_t, sociologie urbaine_t, sociologie de la culture_t, sociologie économique_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
mindthegaps.hypotheses.org/692;études asiatiques_d, histoire_d, histoire_t, histoire culturelle_t, asie_t, chine_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
unibloggt.hypotheses.org/618;histoire et archéologie_d, pluridisciplinarité_d, histoire_t, information_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/12426;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/4314;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/12551;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/5393;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
mgtud.hypotheses.org/267;humanités pluridisciplinaires_d, éducation_d, histoire et archéologie_d, histoire_d, histoire_t, histoire urbaine_t, édition électronique_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/5973;histoire et archéologie_d, sciences sociales interdisciplinaires_d, histoire_t, approches de corpus_t, enquêtes_t, archives_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
archivewk1.hypotheses.org/22977;histoire_d, époque contemporaine_t, 1914-1918_t;Datasets/all_labels_train_scikit-learn_sparse_matrix.npz
