url;classes;filename
ordensgeschichte.hypotheses.org/6160;histoire_t, époque moderne_t, moyen âge_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
historischdenken.hypotheses.org/1487;histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivewk1.hypotheses.org/8935;époque contemporaine_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
histbav.hypotheses.org/2220;europe_t, histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archives.hypotheses.org/796;moyen âge_t, europe_t, épistémologie et méthodes_t, représentations_t, époque moderne_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
intersex.hypotheses.org/1484;époque contemporaine_t, études des sciences_t, moyen âge_t, histoire_t, sociologie_t, droit_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
historischdenken.hypotheses.org/1426;histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/11975;épistémologie et méthodes_t, histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/13643;épistémologie et méthodes_t, histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
fnzinfo.hypotheses.org/907;histoire_t, époque moderne_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/10291;épistémologie et méthodes_t, histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
speyermemo.hypotheses.org/2786;europe_t, époque contemporaine_t, histoire_t, sociologie_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
pophistory.hypotheses.org/1954;époque contemporaine_t, histoire_t, sociologie_t, représentations_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
soziologieblog.hypotheses.org/9526;sociologie_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivalia.hypotheses.org/6526;épistémologie et méthodes_t, histoire_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
archivewk1.hypotheses.org/20501;époque contemporaine_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
dhmuc.hypotheses.org/1464;information_t, études des sciences_t, épistémologie et méthodes_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
wenhua.hypotheses.org/894;asie_t, représentations_t;Datasets/themes_only_train_scikit-learn_sparse_matrix.npz
