Label, Trainingsset (#), Testset (#), Vorhersagen (#), Korrekte Vorhersagen (#), Korrekte Vorhersagen (%), Falsche Vorhersagen (#), Falsche Vorhersagen (%), Nicht vorhergesagte Labels (#), Nicht vorhergesagte Labels (%)
1914-1918_t, 3366, 674, 628, 612, 97.45%, 16, 2.55%, 62, 9.2%
1918-1939_t, 121, 24, 9, 9, 100.0%, 0, 0.0%, 15, 62.5%
1939-1945_t, 288, 58, 30, 26, 86.67%, 4, 13.33%, 32, 55.17%
1945-1989_t, 248, 49, 31, 28, 90.32%, 3, 9.68%, 21, 42.86%
administration publique et développement_d, 125, 25, 14, 12, 85.71%, 2, 14.29%, 13, 52.0%
anthropologie politique_t, 126, 25, 16, 11, 68.75%, 5, 31.25%, 14, 56.0%
approches de corpus_t, 7054, 1412, 1219, 1110, 91.06%, 109, 8.94%, 302, 21.39%
archives_t, 7054, 1412, 1234, 1119, 90.68%, 115, 9.32%, 293, 20.75%
archéologie_d, 228, 45, 28, 23, 82.14%, 5, 17.86%, 22, 48.89%
arts et humanités_d, 1962, 389, 280, 219, 78.21%, 61, 21.79%, 170, 43.7%
arts_d, 132, 27, 12, 12, 100.0%, 0, 0.0%, 15, 55.56%
asie_t, 332, 67, 46, 46, 100.0%, 0, 0.0%, 21, 31.34%
bas moyen âge_t, 1057, 212, 178, 122, 68.54%, 56, 31.46%, 90, 42.45%
bibliothéconomie_d, 428, 85, 27, 26, 96.3%, 1, 3.7%, 59, 69.41%
biomédecine_d, 211, 42, 26, 26, 100.0%, 0, 0.0%, 16, 38.1%
chine_t, 150, 30, 9, 8, 88.89%, 1, 11.11%, 22, 73.33%
communication_d, 852, 170, 81, 69, 85.19%, 12, 14.81%, 101, 59.41%
conflits_t, 176, 36, 18, 17, 94.44%, 1, 5.56%, 19, 52.78%
digital humanities_t, 979, 196, 130, 100, 76.92%, 30, 23.08%, 96, 48.98%
enquêtes_t, 7054, 1412, 1232, 1116, 90.58%, 116, 9.42%, 296, 20.96%
